deweyClass,bibNumber,title,DATE(cout),COUNT(bibNumber)
133.1,2206099,"Visits from the afterlife the truth about hauntings spirits and reunions with lost loved ones",2006-01-13,79
133.44,2323919,"encyclopedia of magickal ingredients a wiccan guide to spellcasting",2006-01-13,112
133.5,2204281,"Astrology transformation empowerment",2006-01-13,71
133.93,1594122,"Letters from the light an afterlife journal from the self lighted world",2006-01-13,12
133.32424,1975855,"Tarot your everyday guide Practical problem solving and everyday advice",2006-01-13,9
133.52,2005850,"Riddle of the zodiac",2006-01-13,58
133.43,2027039,"Origins of modern witchcraft the evolution of a world religion",2006-01-13,10
133.5,1879815,"Moving to success the astrology of location",2006-01-13,22
133.5,1736626,"Linda Goodmans sun signs",2006-01-13,127
133.9,1888198,"other side and back a psychics guide to our world and beyond",2006-01-13,51
133.3092,1793042,"Nostradamus encyclopedia the definitive reference guide to the work and world of Nostradamus",2006-01-13,24
133.93,1392892,"What is an angel doing here",2006-01-13,21
133.3,2307295,"book of ordinary oracles use pocket change popsicle sticks a TV remote this book and more to predict the future and answer your questions",2006-01-13,59
133,41949,"complete books of Charles Fort",2006-01-13,91
133.32424,2299455,"complete tarot reader everyting you need to know from start to finish",2006-01-13,87
133.43,584813,"Cunninghams Encyclopedia of magical herbs",2006-01-13,10
133.93,2096339,"Conversations with the other side",2006-01-13,130
133.32424,2111652,"complete book of tarot reversals",2006-01-13,44
133.333,1935000,"Gaiamancy creating harmonious environments",2006-01-13,26
133.95,2330377,"Astral projection and the nature of reality exploring the out of body state",2006-01-13,93
133.3337,1992001,"Practical Feng shui solutions",2006-01-13,41
133.90135,2117868,"search for past lives exploring reincarnations mysteries the amazing healing power of past life therapy",2006-01-13,5
133,29071,"Hidden symbolism of alchemy and the occult arts",2006-01-13,77
133.3337,2057316,"Lillian Toos feng shui success secrets questions answers from Aunt Agga",2006-01-13,96
133.1,51179,"Elliott ODonnells Casebook of ghosts",2006-01-13,7
133.91,1770178,"Talking to heaven a mediums message of life after death",2006-01-13,47
133.8,1631756,"Archetypal psychology",2006-01-13,5
133.10973,2196137,"Spooky America four real ghost stories",2006-01-13,203
133.3337,2210434,"Feng Shui living",2006-01-14,99
133.3337,2225152,"Lillian Toos 168 feng shui ways to declutter your home",2006-01-14,310
135,287330,"Sleep and wakefulness",2006-01-14,2
133.5,328368,"mediÃ¢Â€Â˜val attitude toward astrology particularly in England",2006-01-14,3
